#============================================================================
#   FILE NAME:  Rockvalues.csv
#----------------------------------------------------------------------------
# PURPOSE:
#   Rock and Mineral values to be loaded into an hdf5 database
#
#----------------------------------------------------------------------------
# HISTORY:
#
#   Date     Author               Notes
# --------  ----------------  -----------------------------------------------
# 05Mar15   A. K. Jackson     Initial Implementation.
# 06Mar15   A. K. Jackson     Add anisotropy parameters
# 09Mar15   A. K. Jackson     Add index, change 'N' to 'NaN'
#============================================================================

#   To do

#   data stored as mineral, Rho, Rhoerr, Vp/K, Vperr/Kerr, Vs/Mu, Vserr/Muerr,
#   epsilon, sigma-epsilon, delta, sigma-delta, gamma, sigma-gamma, priority, 
#   source, units
#   Units = M=metric with M/sec, K=Metric with KM/sec, I=Imperial

#       N = np.nan

0036, dolomite,       2.87, NaN, 7.34, NaN, 3.96, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0037, aragonite,      2.92, NaN, 5.75, NaN, 3.64, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0038, natronite,      2.54, NaN, 6.11, NaN, 3.53, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0039, hydroxyapatite, 3.22, NaN, 7.15, NaN, 4.34, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0040, fluorapatite,   3.21, NaN, 6.80, NaN, 3.81, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0041, fluorite,       3.18, NaN, 6.68, NaN, 3.62, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0042, halite,         2.16, NaN, 4.55, NaN, 2.63, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0043, sylvite,        1.99, NaN, 3.88, NaN, 2.18, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0044, kerogen,        1.3 , NaN, 2.25, NaN, 1.45, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0045, narolite,       2.25, NaN, 6.11, NaN, 3.53, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
        
# References
#         ==========
        
#         Mavko: Gary Mavko, Tapan Mukerji and Jack Dvorkin, "The Rock Physics Handbook", 1998.

